full_name,ORCID,google_scholar,bbp-member
"Benjamin De Leener",-,hXOe8XkAAAAJ,false
"Trygve B. Leergaard",0000-0001-5965-8470,w-sc1loAAAAJ,false
"Heikki Lehväslaiho",0000-0002-6263-1356,-,false
"Yoni Leibner",-,-,false
"Ed S Lein",-,-,false
"Florian Leitner",-,-,false
"David R. Lester",-,-,false
"Juliana Leung",-,-,false
"Paul Levi",-,-,false
"Ran Levi",0000-0001-5297-8295,-,false
"David A. Lewis",-,-,false
"Maolin Li",-,-,false
"Xiang Li",-,-,false
"Xuan Li",-,-,false
"Yujie Li",-,-,false
"Shi-Jun Liang",-,iXFEftUAAAAJ,false
"Fabio Librizzi",-,-,false
"Sook-Lei Liew",-,wRHMqzsAAAAJ,false
"Mikael Lindahl",-,-,false
"Carolina Lindqvist",-,-,true
"Robert Lindroos",0000-0002-9134-3601,jc4A520AAAAJ,false
"Marja-Leena Linne",-,-,false
"Polina Litvak",-,-,true
"ShihChii Liu",-,XYkPvZUAAAAJ,false
"Siqi Liu",-,-,false
"Tianming Liu",-,-,false
"Xiaoxiao Liu",-,-,false
"Yufeng Liu",-,-,false
"Rick Livesey",-,OKxZl5AAAAAJ,false
"Bryn Lloyd",-,-,false
"Johannes C Lodder",-,-,false
"A. Lodi-Rizzini",-,SI2Hzh8AAAAJ,false
"Alex Loebel",-,bsiANeEAAAAJ,false
"Emmanuelle Logette",0000-0002-9229-3503,-,true
"Michael London",0000-0001-5137-1707,-,false
"Pedro L. López-Cruz",-,-,false
"Charlotte Lorin",-,-,true
"Huanxiang Lu",0000-0003-3377-9359,yo8K1SoAAAAJ,true
"Zhiyong Lu",-,-,false
"Maxime Lucas",-,-,false
"Heiko J. Luhmann",-,FDch3OMAAAAJ,false
"Qingming Luo",-,L5PU240AAAAJ,false
"Carmen A. Lupascu",-,Fixq-mQAAAAJ,false
"Olli Lupton",-,OXI_K0MAAAAJ,true
"Daniel J. Lurie",-,-,true
"Jonathan Lurie",-,mu5aEXYAAAAJ,true
"Patrycja Lurie",-,-,true
"W. W. Lytton",-,yTK0o2UAAAAJ,false
"Junying Ma",-,-,false
"Wolfgang Maass",-,-,false
"Julien Machon",-,-,true
"Sumit Madan",-,MDPDw3QAAAAJ,false
"Bruno Ricardo Da Cunha Magalhães",-,-,false
"Pierre Julius Magistretti",0000-0002-6678-320X,-,false
"Ioannis Magkanaris",-,-,true
"Mufti Mahmud",-,-,false
"Patrick Maier",-,-,false
"Amitava Majumdar",-,-,false
"M. Makhinya",-,-,false
"Tuomo Mäki-Marttunen",0000-0002-7082-2507,_s1J6DgAAAAJ,false
"Brendan Mallery",-,-,false
"Damian A. Mallon",-,-,false
"Dhanesh Neela Mana",-,-,false
"Alekhya Mandali",-,FXAVnucAAAAJ,false
"Darshan Mandge",-,uwcvxTYAAAAJ,true
"Huibert D. Mansvelder",-,-,false
"Filippo Mantovani",-,2H-yxNkAAAAJ,false
"Linus Manubens-Gil",-,djj1IYUAAAAJ,false
"Michela Marani",-,-,false
"Adam Marblestone",-,pRTuNPsAAAAJ,false
"Daniel S. Margulies",-,al10sgYAAAAJ,false
"Bóris Marin",0000-0001-5503-648X,-,false
"Oscar Marín",0000-0001-6264-7027,-,false
"Sergey N. Markin",-,-,false
"Danijela Marković",-,-,false
"David Markowitz",-,-,false
"Henry Markram",-,W3lyJF8AAAAJ,false
"Alejandra Garcia Rojas Martinez",-,-,false
"Pablo Martínez-Cañada",0000-0003-2634-5229,FNb-uCQAAAAJ,false
"Clara Martínez-Pérez",0000-0002-9600-3331,BpAJUsUAAAAJ,false
"Maryann E. Martone",-,vSSW75cAAAAJ,false
"Anna Letizia Allegra Mascaro",-,UqLxxOoAAAAJ,false
"R. Mashinistov",-,GOJqDJ8AAAAJ,false
"Stefano Masoli",0000-0003-0660-9952,qb8LxFwAAAAJ,false
"Hansruedi Mathys",-,n-C3oCQAAAAJ,false
"Sherri Matis-Mitchell",-,-,false
"Sérgio Matos",0000-0003-1941-3983,-,false
"Paul M. Matthews",-,-,false
"Arnab Neelim Mazumder",-,-,false
"Justin McArthur",-,HweyCIYAAAAJ,false
"Chris J. McBain",-,-,false
"Robert A. McDougal",-,voD3OosAAAAJ,false
"Johanna McEntyre",-,-,false
"Donald G. McLaren",-,BcMyFPIAAAAJ,false
"John McNaught",-,MSKpy6gAAAAJ,false
"Peter McQuilton",0000-0003-2687-1982,Mi4BwxsAAAAJ,false
"Erik Meijering",-,MsX349AAAAAJ,false
"Ofer Melamed",-,-,false
"Samuel Melchior",-,oiX5-TkAAAAJ,true
"Nathalie Mella",-,m0DBuiIAAAAJ,false
"Felipe Meneguzzi",-,uFEbojwAAAAJ,false
"Maarten Mennes",0000-0002-7279-3439,pLlSTVgAAAAJ,false
"Brett Mensh",-,FFAa6W8AAAAJ,false
"Stephan Menzel",-,-,false
"Audrey Mercer",0000-0002-5086-2560,mgp3JaIAAAAJ,false
"Angel Merchán-Pérez",-,-,false
"Eline J. Mertens",-,FBiTfAMAAAAJ,false
"Salma Mesmoudi",-,-,false
"César M. J. A. Metzger",-,-,false
"Bernard Metzler",-,FtL8mVIAAAAJ,false
"Hanno S. Meyer",0000-0002-4576-1239,Pz75pIUAAAAJ,false
"Julie Meystre",-,-,false
"Feng Miao",-,-,false
"Silvestro Micera",0000-0003-4396-8217,9kH6EEAAAAAJ,false
"Gero Miesenböck",-,-,false
"Michele Migliore",0000-0002-7584-6292,PhiCG5kAAAAJ,false
"Rosanna Migliore",0000-0001-9034-7849,odf6GbEAAAAJ,false
"Bojan Mihaljević",-,o1ZNZlMAAAAJ,false
"Thomas Mikolajick",-,oO0M3q4AAAAJ,false
"Marija Milacic",-,-,false
"Gianluca Milano",-,-,false
"Michael Milham",-,N4-Y6GYAAAAJ,false
"Michael Miller",-,-,false
"Mikhaél Minisini",-,-,false
"George Mitenkov",-,BvhRAegAAAAJ,false
"Partha Mitra",-,-,false
"Alice Mizrahi",-,O1AzDjoAAAAJ,false
"Tinoosh Mohsenin",-,9grfK9gAAAAJ,false
"Caitlin Monney",-,-,true
"Didac Montero Mendez",-,-,true
"Hannah Monyer",0000-0002-9332-5749,-,false
"Simon W. Moore",-,4YlZvscAAAAJ,false
"Juan Morales",-,-,false
"Sebastien Morand",-,JzFXIIkAAAAJ,false
"Christian Morillas",-,-,false
"Peter Morjan",-,-,false
"Benjamin Roy Morrice",-,-,true
"Abigail Morrison",0000-0001-6933-797X,D527oQ4AAAAJ,false
"Matthew Mort",-,8DODdKYAAAAJ,false
"Clayton P. Mosher",-,-,false
"Vignayanandam Ravindernath Muddapu",-,-,true
"Marie Caroline Müllenbroich",0000-0003-0113-8573,wyirXOsAAAAJ,false
"Eilif B. Muller",-,r4-NZhwAAAAJ,true
"Jeffrey Muller",-,IePXkukAAAAJ&hl=en&oi=ao,true
"Eric Müller",-,-,false
"Emeline Mullier",-,8t21Wc8AAAAJ,false
"Alberto Muñoz",0000-0003-4607-3398,-,false
"Alberto Muñoz-Céspedes",-,-,false
"Shruti Muralidhar",-,0tDRCyQAAAAJ,false
"Leila Muresan",-,o_K0ooEAAAAJ,false
"Keerthan Muthurasa",-,-,true
"Daniel Nachbaur",-,-,true
"Anu G. Nair",-,3EpZi6IAAAAJ,false
"Jayakrishnan Nair",-,-,false
"Sumit Nanda",-,t9m1XmsAAAAJ,false
"Anirban Nandi",-,-,false
"Jeyakumar Natarajan",-,sum_sT4AAAAJ,false
"Richard Naud",-,2HXsblgAAAAJ,false
"Matthew F. Naylor",-,-,false
"Emre Neftci",-,yYT6jtkAAAAJ,false
"Israel Nelken",-,6_UmGu0AAAAJ,false
"Sacha B. Nelson",-,-,false
"Yosra Nemri",-,-,false
"Aljoscha Nern",-,-,false
"Pedja Neskovic",-,-,false
"Torbjørn V. Ness",-,xeVr3rAAAAAJ,false
"Esra Neufeld",-,fW9e_UEAAAAJ,false
"Thomas Nevian",0000-0001-9804-608X,-,false
"Adam J. H. Newton",-,-,false
"Taylor H. Newton",-,-,true
"Wai Kit Ng",-,CD5SFdMAAAAJ,false
"Lydia Ng",-,-,false
"Miguel Nicolelis",-,RefX_60AAAAJ,false
"Benjamin Torben-Nielsen",0000-0003-4203-9942,BpfFZ8MAAAAJ,false
"Nicolas Ninin",-,-,true
"Zahra Niroobakhsh",-,8QsAH_AAAAAJ,false
"B. Nolan Nichols",-,-,false
"Max Nolte",0000-0002-9452-4926,qGwEGKEAAAAJ,true
"David P Noske",-,-,false
"Thomas Nowotny",-,-,false
"Angel Nuñez",-,-,false
"Marco Nurisso",-,vAaWpu8AAAAJ,false
"Richard O'Brien",-,-,false
"Christian O'Reilly",0000-0002-3149-4934,NllRAkwAAAAJ,false
"Marcel Oberlaender",-,VFoPFi0AAAAJ,false
"Joshua Obermayer",-,-,false
"Aude Oliva",-,FNhl50sAAAAJ,false
"Shawn Olsen",-,-,false
"Leonardo Onofri",0000-0001-7305-0672,3dOwNtQAAAAJ,false
"Gergo Orban",-,1JeMZad2LKcC,false
"Sandra Orchard",0000-0002-8878-3972,-,false
"Eugenia Oshurko",-,kHGyOJUAAAAJ,true
"Halina Oswald",-,-,false
"Aleksandr Ovcharenko",-,-,true
"Adam Packer",-,gH7eCXUAAAAJ,false
"Evangelos Pafilis",-,Aik8EvoAAAAJ,false
"Renato Pajarola",-,O-Zn7k4AAAAJ,false
"Kadri Pajo",-,-,false
"Juan Palacios",-,-,true
"Henry A. Palasciano",-,l9q9xXsAAAAJ,false
"Priyadarshini Panda",-,-,false
"Gabriella Panuccio",-,SLlTJrsAAAAJ,false
"Erick H. Pasaye",-,-,false
"Axel Pasqualini",-,-,false
"Maria Pasquini",0000-0001-6425-9167,-,false
"Luis Pastor",-,-,false
"Francesco Saverio Pavone",-,P5iPu4AAAA,false
"Robert L. Peach",-,5vnU9VwAAAAJ,false
"François J. Peaudecerf",0000-0003-0295-4556,-,false
"Margit S. Peaudecerf",0000-0003-4243-8425,-,false
"C. Peck",-,-,false
"Scott Peltier",-,cRxo2BUAAAAJ,false
"Hanchuan Peng",-,mzHFPr4AAAAJ,false
"Daniel Peppicelli",-,-,true
"Emiliano Pereira",-,jbiibh4AAAAJ,false
"Fernando L. Pereira",-,-,false
"Juan Pérez-Fernández",0000-0001-7109-951X,2TRnJuwAAAAJ,false
"Igor Peric",-,-,false
"Matthew Perich",0000-0001-9800-2386,tTUtLsQAAAAJ,false
"Rodrigo de Campos Perin",-,_EkSlfYAAAAJ,false
"Wolfram H P Pernice",-,-,false
"Manuel Peter",-,-,false
"Carl C. H. Petersen",-,-,false
"Fabien Petitjean",0000-0002-1321-4433,-,true
"Rémy Valentin Petkantchin",0000-0001-8137-8811,-,true
"Spase Petkoski",0000-0003-4540-6293,TSi_ZkIAAAAJ,false
"Giovanni Petri",-,jb__2PIAAAAJ,false
"Steven Petrou",-,JRoyI2gAAAAJ,false
"Klas H. Pettersen",-,twaOs6AAAAAJ,false
"Alexander Peyser",0000-0002-3453-310X,_vIsa9sAAAAJ,false
"Weria Pezeshkian",0000-0001-5509-0996,Lrjf9FgAAAAJ,false
"Maurizio Pezzoli",0000-0002-5763-3031,-,true
"L. Pfotzer",-,-,false
"Ulrike Pfreundt",-,B-HQjF4AAAAJ,false
"Eugenio Piasini",0000-0003-0384-7699,dGKi9Q4AAAAJ,false
"Fabienne Picard",0000-0001-9120-1761,CPN1gVcAAAAJ,false
"Alyssa Picchini-Schaffer",-,vK6PpT4AAAAJ,false
"Marina Picciotto",-,hI_-O8YAAAAJ,false
"Michele Pignatelli",-,XbvCRvMAAAAJ,false
"Sébastien Piluso",-,KaVBLX4AAAAJ,true
"Kenneth Pirman",-,-,true
"Dario Pisignano",-,fhFk6eYAAAAJ,false
"Francesca Pittau",-,acrwscsAAAAJ,false
"Judit Planas",0000-0002-8221-7988,LdxP4g0AAAAJ,false
"David Plecher",-,N8ksONIAAAAJ,false
"Hans E. Plesser",-,YR5QfVEAAAAJ,false
"Dimitri Plotnikov",-,-,false
"Pawel Podhajski",-,-,true
"William F. Podlaski",-,-,false
"Marin Vlastelica Pogančić",-,-,false
"Christoph Pokorny",-,jlR9uNUAAAAJ,true
"Jean-Baptiste Poline",-,-,false
"Mu-ming Poo",-,-,false
"Christoph Posch",-,35iJNvUAAAAJ,false
"Alex Pouget",-,07IPOvMAAAAJ,false
"Arseny V. Povolotsky",-,-,false
"Christian Pozzorini",-,ArkpAjwAAAAJ,false
"Etienne Pralong",-,-,false
"Gautam Prasad",-,-,false
"N Pryds",-,aj5SDcsAAAAJ,false
"Sirio Bolaños-Puchet",0000-0003-4049-6488,-,false
"Vicente Reyes-Puerta",-,XnVpRFkAAAAJ,false
"Sangya Pundir",0000-0003-4526-6833,-,false
"Julien Puyal",-,tIBrgnkAAAAJ,false
"Lei Qu",-,-,false
"Jia Qu",-,-,false
"Alain Quentel",-,-,false
"Tyler J Quill",-,-,false
"Adrian Quintana",-,-,false
"Pierre-Olivier Quirion",-,yOX_9z4AAAAJ,false
"Miroslav Radojević",-,bgsGjoIAAAAJ,false
"Sri Raghavachari",-,-,false
"John Rahmon",-,-,false
"Pranav Rai",-,-,true
"Shravan Tata Ramalingasetty",-,losb_PYAAAAJ,false
"Arvind Ramanathan",-,-,false
"Srikanth Ramaswamy",0000-0001-6642-7136,sikKD7UAAAAJ,true
"Rajnish Ranjan",-,-,true
"Shruti Rao",0000-0002-7235-0777,-,false
"Andrea Redaelli",-,rFoJ16sAAAAJ,false
"Christopher A. Reid",-,-,true
"Michael W. Reimann",0000-0003-3455-2367,uzjd33kAAAAJ,true
"Francesco Resta",-,T2xDw1wAAAAJ,false
"Leonardo Restivo",-,fjFf8boAAAAJ,false
"Maria Reva",-,-,true
"Imad Riachi",-,-,false
"Carlo Ricciardi",-,-,false
"Renaud Luc Richardet",-,IieFwtwAAAAJ,true
"Magnus J E Richardson",-,jA9lgb8AAAAJ,false
"Paul Richmond",-,-,false
"Killian Rigaux",-,-,false
"Nathan Riguet",-,-,false
"Henri Riihimäki",-,-,false
"Fabio Rinaldi",0000-0001-5718-5462,-,false
"Juan Luis Riquelme",-,l4WgXV0AAAAJ,true
"Martina F. Rizza",-,-,false
"Anne‐Bérengère Rocher",-,-,false
"Kathleen S. Rockland",0000-0002-6650-8785,jeIa4nUAAAAJ,false
"Dimitri Rodarie",-,9qt-bvYAAAAJ,true
"Perin Rodrigo",-,_EkSlfYAAAAJ,false
"José-Rodrigo Rodríguez",-,8fdHZBUAAAAJ,false
"Raul Rodriguez-Esteban",0000-0002-9494-9609,FsXiVDwAAAAJ,false
"Florian Roehrbein",-,IEOJBbAAAAAJ,false
"Arne Roennau",-,LV3qgLQAAAAJ,false
"Noa Rogozinski",0000-0001-7130-0375,-,false
"Alina Roitberg",-,UuEFRDoAAAAJ,false
"Ariel Rokem",-,hrBeLVYAAAAJ,false
"Benjamin R. K. Roller",-,oocmzDgAAAAJ,false
"Bogdan Roman",-,-,true
"Sandrine Romand",-,-,false
"Armando Romani",0000-0001-6388-4286,IW4gZH0AAAAJ,true
"Eduardo Ros",-,-,false
"Nadia Rosenberg",-,-,false
"Jane Roskams",-,nzIRBZ0AAAAJ,false
"Christian A. Rössert",0000-0002-4839-2424,-,true
"Jean Rossier",-,-,false
"David Rotenberg",-,-,false
"Arnd Roth",-,-,false
"Karen Rothfels",-,-,false
"Yann Roussel",-,-,true
"Andrew Rowley",-,-,false
"Badrinath Roysam",-,JL4E0ZoAAAAJ,false
"Zongcai Ruan",-,w0JRZWUAAAAJ,false
"Edwin Rubel",-,12aRrqIAAAAJ,false
"John L. R. Rubenstein",-,-,false
"Bernardo Rudy",0000-0001-5748-6900,-,false
"Joan Rue-Queralt",-,6cCLjg0AAAAJ,false
"Bernhard Rumpe",0000-0002-2147-1966,nED1C7QAAAAJ,false
"Ilya A. Rybak",-,-,false
"Ziad S. Saad",-,XpdrHm0AAAAJ,false
"Leonardo Sacconi",-,Rkqz0J8AAAAJ,false
"Sadra Sadeh",-,TTSaP7wAAAAJ,false
"Florentino Sainz",-,U4htCNYAAAAJ,false
"David Salgado",0000-0002-5905-3591,-,false
"Alberto Salleo",-,5XjscEAAAAAJ,false
"Matteo Santoro",0000-0002-4457-4204,-,false
"João P. G. Santos",0000-0002-0395-039X,-,false
"Riccardo Sapienza",0000-0002-4208-0374,-,false
"Sára Sáray",0000-0002-4341-177X,-,false
"Ausra Saudargienė",0000-0003-2768-3334,-,false
"Alexandru Săvulescu",-,M5O9XpoAAAAJ,false
"Dhruv Saxena",-,YojKX5YAAAAJ,true
"Enrico Scantamburlo",0000-0003-4598-3998,-,true
"Massimo Scanziani",-,-,false
"Mary Schaeffer",-,-,false
"Franz Scherr",-,QCUInkoAAAAJ,false
"Alon Schindel",-,KJ2adaIAAAAJ,false
"Michael Schmuker",-,sUf4Zn4AAAAJ,false
"Ralf Schneggenburger",-,k_2snewAAAAJ,false
"Lars Schneidenbach",-,-,false
"Mikkel Schöttner",-,XQbbbysAAAAJ,false
"Rouven Schulz",-,-,false
"Till Schumann",-,-,true
"Felix Schuermann",0000-0001-5379-8560,FGw4sMEAAAAJ,true
"Martina Scolamiero",-,hWJhusMAAAAJ,false
"Abu Sebastian",-,sUCQ7KMAAAAJ,false
"Alexander Seeholzer",0000-0002-1541-4906,n4aBht4AAAAJ,false
"Idan Segev",0000-0001-7279-9630,JDhMq3kAAAAJ,false
"Alexandra H. Seidenstein",-,-,false
"Terry Sejnowski",-,m1qAiOUAAAAJ,false
"Konstantinos Sfyrakis",-,-,true
"Martina Sgritta",-,jalYbmoAAAAJ,false
"Gilad Shapira",-,-,false
"Matthew Shardlow",-,RMA0XzoAAAAJ,false
"Gordon M. Shepherd",-,-,false
"Chet C. Sherwood",-,ENmARrsAAAAJ,false
"Ying Shi",-,-,true
"Yonggang Shi",-,sm2Y-6sAAAAJ,true
"Polina Shichkova",0000-0002-2574-1732,iXUKm-wAAAAJ,true
"Julian C. Shillcock",0000-0002-7885-735X,dTWd7VIAAAAJ,true
"Sandra Siegert",-,Kus1pPwAAAAJ,false
"Joshua H. Siegle",-,jxKYDrEAAAAJ,false
"Gilad Silberberg",0000-0001-9964-505X,DvA0EPQAAAAJ,false
"Raquel M. Silva",-,-,false
"Ricardo Silva",0009-0001-0951-4628,-,false
"R. Angus Silver",-,rpON82IAAAAJ,false
"Ludovico Silvestri",0000-0001-9215-9104,WN2BD24AAAAJ,false
"Jane Simko",0000-0002-3632-4176,-,false
"Michel Simonneau",-,VdcDl84AAAAJ,false
"Onkar Singh",-,-,false
"Upinder Singh Bhalla",-,rxYd-B4AAAAJ,false
"Amos Sironi",-,wVYKFnAAAAAJ,false
"Subhashini Sivagnanam",-,x5WpsHMAAAAJ,false
"P. J. Sjöström",-,ikK_8p8AAAAJ,false
"David Slater",0000-0003-1809-5661,-,false
"Stefan Slesazeck",-,1greZkoAAAAJ,false
"Jonasz Słomka",0000-0002-7097-5810,i1vhVigAAAAJ,false
"Roberto Smiriglia",-,-,false
"Jason P. Smith",-,XMRu848AAAAJ,false
"Sergio Solinas",0000-0002-8605-8515,-,false
"Liviu Soltuzu",-,-,true
"Fritz Sommer",-,-,false
"Peter Somogyi",-,0v7auZwAAAAJ,false
"Vishal Sood",-,-,true
"Austin Soplata",-,nkhwczcAAAAJ,true
"Victor H. Souza",-,-,false
"Cristina Spalletti",-,cx6MFMoAAAAJ,false
"Sebastien Speierer",-,ANbGE-UAAAAJ,true
"Sabina Spiga",-,90EIQRUAAAAJ,false
"Nelson Spruston",0000-0003-3118-1636,wjdLQDkAAAAJ,false
"V. Srinivasa Chakravarthy",-,4PqxB3gAAAAJ,false
"Mohit Srivastava",-,-,false
"Natalia Stafeeva",-,-,true
"Jochen F. Staiger",-,-67Zko4AAAAJ,false
"Rokas Stanislovas",-,-,false
"Raymund Stefancsik",-,-,false
"David M. Steinberg",-,vCPW4KMAAAAJ,false
"Andrey Stepaniuk",-,-,true
"Thomas Sterling",-,-,false
"Janine Stevens",-,gnZKy0oAAAAJ,false
"Klaus M. Stiefel",-,-,false
"Marcel Stimberg",-,KJs3XswAAAAJ,false
"Roman Stocker",0000-0002-3199-0508,cSsdfFcAAAAJ,false
"Alan B. Stokes",-,AkKmS_EAAAAJ,false
"John Paul Strachan",-,8ay1zbcAAAAJ,false
"Stephen C. Strother",0000-0002-3198-217X,-,false
"Chu-Hsien Su",-,-,false
"Suresh Subramani",-,-,false
"Shyam Sudkahar",-,Zm7WsIsAAAAJ,false
"Uygar Sümbül",-,dhiRjJIAAAAJ,false
"Jyh-Jang Sun",-,RZ4xDckAAAAJ,false
"Larry Swanson",-,-,false
"Mohameth François Sy",-,xYMSpVAAAAAJ,true
"Davide Tacchella",-,-,false
"Valérie Tâche",-,-,true
"Hamsa D. Tadepally",-,-,false
"Gábor Tamás",-,-,false
"Gouhei Tanaka",-,rNP9cAgAAAAJ,false
"Jonathan Tapson",-,BOIxudIAAAAJ,false
"Bosiljka Tasic",-,M7tnFRQAAAAJ,false
"Farhan Tauheed",-,JU-zSOkAAAAJ,false
"Martin Telefont",-,-,true
"Aleksandra Teska",-,s9QzbuQAAAAJ,true
"Guilherme Testa-Silva",0000-0002-5585-1166,qrt6XFgAAAAJ,false
"Tom Tetzlaff",-,Cx05PFgAAAAJ,false
"Joseph Tharayil",-,ips0hM8AAAAJ,true
"Axel Thielscher",-,ODZnZbgAAAAJ,false
"David B. Thomas",-,-,false
"Alex M. Thomson",-,-,false
"Simon Thorpe",-,-,false
"Paul Tiesinga",-,GnKVOBwAAAAJ,false
"Antonino Tocco",-,-,false
"Arthur Toga",-,B2YRmGgAAAAJ,false
"Maria Toledo-Rodriguez",-,go2rlO0AAAAJ,false
"Silvia Tolu",-,ITsafnMAAAAJ,false
"Adam Tomkins",-,-,false
"Roberto Toro",0000-0002-6671-858X,-,false
"Georgia Tourassi",-,mBRzPfIAAAAJ,false
"Sebastien Tourbier",-,Fuxa02EAAAAJ,false
"Thomas Tränkler",-,-,false
"Guido Trensch",-,-,false
"Shreejoy J. Tripathy",-,dNybyvgAAAAJ,false
"Daniel Trpevski",-,JuCAs-0AAAAJ,false
"Li-Huei Tsai",-,LX18xbEAAAAJ,false
"Loukia Tsaprouni",-,O3bsHYQAAAAJ,false
"Misha Tsodyks",0000-0002-5661-4349,qQgUtucAAAAJ,false
"Anil M. Tuncel",-,bTmGQ3cAAAAJ,true
"Katharine Turner",0000-0002-6679-7441,-,false
"Lucina Q. Uddin",-,ZRJpD7wAAAAJ,false
"Alexander D. Ulbrich",-,-,true
"Stefan Ulbrich",-,-,true
"Francesco Vaccarino",-,4XfzoZQAAAAJ,false
"Andrea C. Vaiana",-,YSVlWhwAAAAJ,false
"Alexandre Valentian",-,-,false
"Taufik A. Valiante",0000-0002-3443-3790,-,false
"Ilia Valov",-,kSKH_z8AAAAJ,false
"Sacha J. van Albada",-,-,false
"Kimberly Van Auken",-,-,false
"Patrick van der Smagt",0000-0003-4418-4916,5ybzvbsAAAAJ,false
"Werner A. H. Van Geit",0000-0002-2915-720X,5sr9FJgAAAAJ,false
"John D. Van Horn",-,-,false
"John W. Van Meter",-,-,false
"Pierre Vandergheynst",-,1p9NOFEAAAAJ,false
"Liesbeth Vanherpe",-,ln2CsAEAAAAJ,true
"Lorenzo Vannucci",-,-,false
"Francesco Vanzi",0000-0002-6372-7747,oGd906oAAAAJ,false
"Nicole Vasilevsky",0000-0001-5208-3432,NqjaPaAAAAAJ,false
"Xavier Vasques",-,-,true
"Juan Camilo Vasquez Tieck",-,-,false
"Marie Vasse",-,vxdv_aAAAAAJ,false
"Rahul V. Veettil",-,-,false
"Alessandro Venturino",-,5omV568AAAAJ,false
"Csaba Verasztó",-,-,true
"Matthijs B Verhoog",-,lrKeXBEAAAAJ,false
"Tamara Versluis",-,-,false
"Elisa Vianello",-,hscO0hMAAAAJ,false
"Alessandro E. P. Villa",-,-,false
"Jafet Villafranca",-,-,false
"Paola Vitale",-,-,false
"Tim P. Vogels",-,RsHPZroAAAAJ,false
"R. Jacob Vogelstein",-,u7l9GEkAAAAJ,false
"Joshua T. Vogelstein",-,DWPfdT4AAAAJ,false
"Christine Axel Von Arnim",-,OJ4tD18AAAAJ,false
"Mark L. Vousden",-,-,false
"Laurent Vuillon",-,XYUUU0QAAAAJ,false
"Thomas Wachtler",0000-0003-2015-6590,nOfu8roAAAAJ,false
"Rebecca C Wade",-,-,false
"Wojciech Wajerowicz",-,-,true
"Richard Walker",0000-0003-2123-5565,-,true
"Ching-Wei Wang",-,k_oz6FgAAAAJ,false
"Qinghua Wang",-,-,false
"Xiaodong Wang",-,-,false
"Yuan Wang",-,-,false
"Yun Wang",-,-,false
"T. J. Christopher Ward",-,JfCiCZMAAAAJ,false
"Sandro Weber",-,lps2OugAAAAJ,false
"Bruno Weber",0000-0002-9089-0689,RnsnW3sAAAAJ&hl,false
"Yina Wei",-,-,false
"Konstantin Weise",-,3KVsuA8AAAAJ,false
"Gerhard Wellein",-,Fk1KSNMAAAAJ,false
"Robert C. Welsh",-,-,false
"David C. West",-,-,false
"Jeanette D. Wheeler",-,-,false
"René Wilbers",-,jz_pG7UAAAAJ,false
"Jonathan Wirsich",-,_X4xQNcAAAAJ,false
"Matthias Wolf",0000-0002-6997-6330,-,true
"Marmaduke Woodman",-,-,false
"Torge Worbs",-,-,false
"Cathy H. Wu",-,-,false
"Willem A. M. Wybo",-,Q9_bcNMAAAAJ,true
"Ting Xu",-,-,false
"Xiaohan Xue",-,-,false
"Sophia N. Yaliraki",-,RGH5t94AAAAJ,false
"J Joshua Yang",-,-,false
"Jian Yang",-,-,false
"Jianhua Yao",-,3bQwlCQAAAAJ,false
"Peng Yao",-,-,false
"Zizhen Yao",-,EYosRt4AAAAJ,false
"Stuart Yates",-,8bs77jQAAAAJ,true
"Bing Ye",-,-,false
"Hongchuan Yu",-,k0u7iVkAAAAJ,false
"Wang Yun",-,-,false
"Rafael Yuste",-,G0WcJagAAAAJ,false
"Anthony Zador",-,wM_22hwAAAAJ,false
"Bas-Jan Zandt",0000-0003-3546-7228,ry1UpU8AAAAJ,false
"Stefano M. Zaninetta",-,-,true
"Mickael Zbili",0000-0002-7377-2605,-,true
"Hongkui Zeng",-,-,false
"Ting Zhao",-,-,false
"Ning Zhong",-,-,false
"Jie Zhou",-,-,false
"Zhi Zhou",-,-,false
"Eleftherios Zisis",-,4mieLgQAAAAJ,true
