full_name,ORCID,google_scholar,bbp-member
"Randal Burns",-,-,false
"Olivier Burri",-,-,false
"György Buzsáki",-,DVl9E8YAAAAJ,false
"Weidong Cai",-,-,false
"Matteo Caleo",-,jLCgWXIAAAAJ,false
"Corrado Calì",0000-0003-4856-0835,PRkBpAwAAAAJ,false
"David Campos",-,-,false
"Andrea Camposeo",-,a8w-Ff4AAAAJ,false
"C. Cannia",-,-,false
"Christopher J. Cannistraci",-,Npy-GCQAAAAJ,false
"Robert Cannon",-,-,false
"Matteo Cantarelli",-,HqmRfWkAAAAJ,false
"Nicola Cantarutti",0000-0002-0441-7159,-,true
"Elisa Capuana",-,8BsFsXUAAAAJ,false
"Tristan Carel",0000-0003-0941-9986,-,true
"Alan Carleton",-,-,false
"Nicholas T. Carnevale",-,-,false
"Francesco Casalegno",-,-,true
"Antonino Cassara",-,dmraubIAAAAJ,false
"Giacomo Castiglioni",-,qAqsm6EAAAAJ,true
"Alessandro Cattabiani",-,qwMY7tAAAAAJ,true
"Bruno Cauli",0000-0003-1471-4621,vMb5S-UAAAAJ,false
"N. Cauli",-,YgbNdbUAAAAJ,false
"N. Alex Cayco-Gajic",-,-,false
"Barbara Chabriw",-,-,false
"Wojciech Chachólski",-,-,false
"Athanassia Chalimourda",-,-,true
"Frances Chance",-,DluuU7UAAAAJ,false
"Florian Chapotot",-,nTu0AQgAAAAJ,false
"Jean-Cédric Chappelier",-,-,false
"Thomas Chartrand",-,INIFj2kAAAAJ,false
"Andrew Chatr-Aryamontri",-,-,false
"Jean‐Yves Chatton",-,-,false
"Hanbo Chen",-,-,false
"Weiliang Chen",-,-,false
"Li Cheng",-,-,false
"Grigori Chevtchenko",-,-,true
"Ann-Shyn Chiang",-,-,false
"Lucy Chilton",-,sGj-oQkAAAAJ,false
"Giuseppe Chindemi",0000-0001-6872-2366,2Bg_RB0AAAAJ,true
"Hui-Jou Chou",-,-,false
"Dennis V Christensen",-,4Pl5CDAAAAAJ,false
"Martin Ejsing Christensen",-,-,false
"Miyoung Chun",-,BO_fMrEAAAAJ,false
"George Church",-,-,false
"Laura Cif",-,LJSVS6gAAAAJ,false
"Oscar Cipolato",-,GrVRdrcAAAAJ,false
"Francisco Clascá",-,-,false
"Thomas A Cleland",-,oNAtoyEAAAAJ,false
"Estelle E. Clerc",0009-0003-6046-2856,-,false
"Hollis Cline",-,Prfdr10AAAAJ,false
"Thomas G. Close",-,fBka2hcAAAAJ,false
"Daniel Coca",-,l5c4xxgAAAAJ,false
"Jay S. Coggan",0000-0002-2270-1989,-,true
"Julien Cohen-Adad",-,6cAZ028AAAAJ,false
"Cristina Colangelo",-,lHdggD8AAAAJ,true
"Todd Coleman",-,-,false
"Núria Tort-Colet",0000-0002-9708-9755,bmZjZY4AAAAJ,false
"Eloise Colnot",-,a2VxuHMAAAAJ,true
"Gloria Colombo",-,IAOSVeoAAAAJ,false
"Eduardo Conde-Sousa",-,xi0xi2AAAAAJ,false
"David O’Connor",-,-,false
"Emilia Conti",-,ckgjk1UAAAAJ,false
"Valerio Conti",0000-0002-8326-6378,7cRwCIwAAAAJ,false
"Gabriela Contreras",-,-,false
"Laurel Cooper",-,-,false
"Nicolas Cornu",-,935nYOgAAAAJ,true
"Irene Costantini",-,fq-UlpQAAAAJ,false
"Benoit Coste",-,w6W9oe0AAAAJ,true
"Sil Coulter",-,-,false
"Jean-Denis Courcol",0000-0002-9351-1461,-,true
"Gregoire Courtine",-,Jvd6Y1UAAAAJ,false
"Daniel N. Cox",-,o162W3gAAAAJ,false
"R. Cameron Craddock",0000-0002-4950-1303,-,false
"Francesco Cremonesi",0000-0003-1027-485X,dHm1KE1zGioC,false
"Joel Criado",-,-,false
"Sharon M Crook",-,-,false
"Meritxell Bach Cuadra",-,UoZ4neoAAAAJ,false
"Ryan John A. Cubero",-,-,false
"Ralph Etienne Cummings",-,AA16968AAAAJ,false
"Hermann Cuntz",-,9g7Uj-MAAAAJ,false
"Alessandro Curioni",-,EidvBK8AAAAJ,false
"Justin Curry",-,-,false
"Egidio D'Angelo",-,ZAFulUQAAAAJ,false
"Snigdha Dagar",-,tgLluUkAAAAJ,true
"R. Daher",-,-,false
"Hong-Jie Dai",-,qsKMOtwAAAAJ,false
"Kael Dai",0000-0002-2147-5895,-,false
"Tanguy Damart",-,UAiver8AAAAJ,true
"Chinh Dang",-,-,false
"Michael Daniels",0000-0002-0456-1214,-,false
"Simon M. Danner",-,fRSSZRUAAAAJ,false
"Suman Datta",-,-,false
"Andrew P. Davison",-,-,false
"Kaushik De",-,_LLrUGAAAAAJ,false
"Marc de Kamps",0000-0001-7162-4425,OS87KEYAAAAJ,false
"Christiaan P. J. de Kock",0000-0002-6697-0179,-,false
"Stephanie de La Rochefoucauld",-,-,false
"Pedro de Miguel Anasagasti",-,-,false
"Erik De Schutter",0000-0001-8618-5138,eRZk04QAAAAJ,false
"Henry DeAizpurua",-,-,false
"Javier DeFelipe",-,lvjKuYkAAAAJ,false
"Yair Deitcher",-,SWpYm6IAAAAJ,false
"Baudouin Del Marmol",-,-,true
"Fabien Delalondre",-,-,true
"Emilie Delattre",0000-0002-5046-1804,-,true
"Vincent Delattre",-,B4DiBAYAAAAJ,false
"Thomas Delemontex",-,-,true
"Berat Denizdurduran",-,BtAhAEEAAAAJ,true
"Winfried Denk",-,pFOcaHAAAAAJ,false
"Daniel Denman",-,uru5jAAAAAJ,false
"Oliver Denninger",-,qSSPdr8AAAAJ,false
"Pauline Depierre",-,-,false
"Sebastien Dery",-,-,false
"Stefan Deser",-,-,false
"Jordan DeSha",-,-,false
"Alain Destexhe",-,x-MyT34AAAAJ,false
"Adrien Devresse",0000-0003-0071-3265,k5QD3TwAAAAJ,true
"Antonino Paolo Di Giovanna",-,-,false
"Jafet Villafranca Díaz",-,-,false
"Sandra Diaz-Pier",-,Fnk3RaEAAAAJ,false
"Benjamin K. Dichter",-,-,false
"Hugo Dictus",0000-0003-2980-5737,-,true
"Markus Diesmann",0000-0002-2308-5727,q4bTHJoAAAAJ,false
"Alexander Dietz",0000-0002-6400-9958,IzGmpugAAAAJ,true
"Rüdiger Dillman",-,8q019n8AAAAJ,false
"Regina Dittmann",-,uzAuOcwAAAAJ,false
"Paweł Dłotko",-,znDLoAAAAJ,false
"Alastair F. Donaldson",-,ZIUuqNwAAAAJ,false
"Elisa Donati",-,-,false
"Michael Doron",-,-,false
"Stijn Van Dorp",-,40hhHA8AAAAJ,false
"Matthijs C. Dorst",-,mAfPOB4AAAAJ,false
"Jonathan Downar",0000-0002-5140-174X,7nHzvswAAAAJ,false
"Bogdan Draganski",0000-0002-5159-5919,X9iTRWkAAAAJ,false
"Jakub Dranczewski",-,FGCxu_cAAAAJ,false
"Shaul Druckmann",-,-,false
"Kai Du",-,-,false
"Raphael Dumusc",-,-,true
"Katharine Dunlop",0000-0003-4366-7692,-,false
"Michaël Dupont",-,S18swMcAAAAJ,true
"Salvador Dura-Bernal",0000-0002-8561-5324,TFy7ncUAAAAJ,false
"James Dynes",-,-,true
"Matt Earnshaw",-,TLeTffcAAAAJ,false
"András Ecker",0000-0001-9635-4169,-,true
"Daniela Egas Santander",-,TlA2QzYAAAAJ,true
"Hubert Eichner",-,nYrg2f8AAAAJ,false
"S Eilemann",-,H0hHPysAAAAJ,true
"Gaute T. Einevoll",-,-,false
"Ana Belen Elgoyhen",-,nmiWL74AAAAJ,false
"Vishalini Emmenegger",-,-,false
"Håkon Enger",-,-,false
"Jochen Martin Eppler",-,-,false
"Olivia Eriksson",-,8RaQANcAAAAJ,false
"Csaba Erö",-,-,true
"Alan Evans",-,-,false
"Timothée Ewart",-,XTsuhxoAAAAJ,true
"Paul Expert",-,-,false
"Guy Eyal",0000-0002-9537-5571,E7kzEt4AAAAJ,false
"Alfonso Fairén",-,8GdYeyUAAAAJ,false
"Joanne Falck",-,K8pAUkAAAAJ,false
"Egidio Falotico",0000-0001-8060-8080,k1aWjf0AAAAJ,false
"Xue Fan",0000-0003-2059-3926,-,true
"Silvia Farcito",-,-,false
"Cyrille Pierre Henri Favreau",0000-0003-1381-1585,-,true
"Johannes Feldmann",-,-,false
"Dirk Feldmeyer",0000-0002-1716-8972,-,false
"Joachim Fenkes",-,-,false
"Carlos Fernandez Musoles",-,-,false
"Andre Ferreira Castro",-,pV1LeFUAAAAJ,false
"Barbra Ferrell",-,-,false
"Gianluca Ficarelli",-,-,true
"Marko Filipović",0000-0002-5801-1437,-,false
"Anna Fischer",-,-,false
"Gord Fishell",-,eTJT9NAAAAAJ,false
"B. G. Fitch",-,RHycQGcAAAAJ,false
"David Fitzpatrick",-,-,false
"Shane T. Fleming",-,bGjqBxIAAAAJ,false
"Adrien Christian Fleury",-,-,true
"Jean-Claude Florent",-,-,false
"Juliane Fluck",0000-0003-1379-7023,LGfBcwsAAAAJ,false
"Alessandro Foni",-,-,true
"Pierre-Alexandre Fonta",-,dDVBCr8AAAAJ,true
"Emanuele Formento",-,sJt5aCEAAAAJ,false
"Jeremy Fouriaux",-,-,true
"Richard Frackowiak",-,4nu1zCsAAAAJ,false
"Ramon Fraga Pereira",-,9HRSVRgAAAAJ,false
"Michele M. Franceschini",-,-,false
"Laurent Francioli",-,zChThWEAAAAJ,true
"Alexandre R. Franco",-,-,false
"Yves Fregnac",-,S1vqJ6YAAAAJ,false
"Tamas F. Freund",-,VTwMv7YAAAAJ,false
"Caroline Seligman Froehlich",-,-,false
"Pascal Fua",-,kzFmAkYAAAAJ,false
"Steve Furber",-,jLnsiBEAAAAJ,false
"Michele Gaio",-,C_EBGi8AAAAJ,false
"Eyal Gal",0000-0001-8140-9948,-,false
"Roberto Galeazzi",-,-,false
"Socorro Gama-Castro",-,TOnkvWsAAAAJ,false
"Luca Gambazzi",-,eDuL6sAAAAJ,false
"Tobias Gänswein",-,6FoOR5EAAAAJ,false
"Haifei Gao",-,-,false
"Juan José García",-,-,false
"Juan José Garcia Cantero",-,iYyRcDAAAAAJ,false
"María García-Amado",0000-0001-6778-5680,-,false
"Daniel Gardner",-,-,false
"Esther P. Gardner",-,-,false
"Adélie Garin",-,fNq0JzcAAAAJ,false
"Eduardo Garrido",-,-,false
"Marta Garcia-Gasulla",-,t3VczyIAAAAJ,false
"Henry Genet",-,-,true
"Nancy George",-,-,false
"Andrew J. Gerber",-,wfVlC6cAAAAJ,false
"Robert S. Germain",-,-,false
"W. Gerstner",-,vSd2RnEAAAAJ,false
"Pavlo Getta",-,-,true
"Michael E. Gevaert",0000-0002-7547-3297,-,true
"Marc-Olivier Gewaltig",-,Dy-lNyAAAAAJ,true
"Jean-Pierre Ghobril",-,-,false
"Satrajit S. Ghosh",-,-,false
"Elisabetta Giacalone",-,-,false
"Albert Gidon",-,-,false
"Miguel Gila",-,-,false
"Thomas H. Gillespie",-,-,false
"Todd Gillette",-,-,false
"Matthieu Girod",-,-,false
"Michele Giugliano",-,ImrD5VwAAAAJ,false
"Georgios Gkoutos",0000-0002-2061-091X,zKrJjA0AAAAJ,false
"Padraig Gleeson",0000-0001-5963-8576,-,false
"Amir Globerson",-,5JserkUAAAAJ,false
"Katharina Glomb",-,82p3zIkAAAAJ,false
"Jesse H. Goldberg",-,-,false
"Patricia S Goldman-Rakic",-,-,false
"Guillermo González-Burgos",-,-,false
"Dan F. M. Goodman",-,2HiNqI4AAAAJ,false
"Philip H Goodman",-,gFCNF1sAAAAJ,false
"Natalia A Goriounova",-,-,false
"Adam Gosztolai",-,fVGCjMsAAAAJ,false
"Thomas J. Grabowski",-,pkPMYDIAAAAJ,false
"Joe W. Graham",-,-,true
"Sergey L. Gratiy",-,-,false
"Michael Graupner",-,HkTh0pIAAAAJ,false
"David B. Grayden",-,-,false
"Alessandra Griffa",-,vbgItmkAAAAJ,false
"Sten Grillner",-,17T_GKUAAAAJ,false
"Amiram Grinvald",0000-0002-3391-4445,jl5mgKsAAAAJ,false
"Henning Groenda",-,-,false
"Julie Grollier",-,eAgYj1IAAAAJ,false
"Lukas N. Groschner",-,0Nk1ECQAAAAJ,false
"Sonja Grün",-,b4DhWyQAAAAJ,false
"Lin Gu",-,-,false
"Nadir Román Guerrero",-,EketricAAAAJ,false
"Renzo Guerrini",0000-0002-7272-7079,ZhiXnioAAAAJ,false
"Idris Guessous",-,-,false
"Romain Guiet",-,GRN4KpoAAAAJ,false
"Yike Guo",-,-0q6cIYAAAAJ,false
"Anirudh Gupta",-,-,false
"Luc Guyot",-,tXQErVAAAAAJ,true
"Markus Hadwiger",-,wmx7KVUAAAAJ,false
"Valentin Haenel",-,-,false
"Olivier Hagens",-,-,false
"Georg Hager",-,ARurmwAAAAJ,false
"Joachim Hagger",-,-,false
"Patric Hagmann",-,vHwHpawAAAAJ,false
"Geir Halnes",-,68xilNsAAAAJ,false
"Philip de Witt-Hamer",-,-,false
"Yunyun Han",0000-0003-2336-167X,k0sfuEAAAAJ,false
"Kenneth Harris",-,-,false
"Janna Hastings",-,cz-hhPUAAAAJ,false
"Robert John Hatch",-,-,false
"Michael Hausser",-,-,false
"Michael Hawrylycz",-,xWhtmvAAAAAJ,false
"Etay Hay",-,iircviMAAAAJ,false
"Hai-yan He",-,rjuSy1EAAAAJ,false
"Thomas Heinis",-,yJ998VYAAAAJ,false
"Anibal Sólon Heinsfeld",0000-0002-2050-0614,gQdfws4AAAAJ,false
"Tim S Heistek",-,-,false
"Daniela Helbig",-,-,false
"Jeanette Hellgren Kotaleski",-,55D57zgAAAAJ,false
"Moritz Helmstaedter",-,MPE5hLMAAAAJ,false
"Timothé Guyonnet-Hencke",-,-,false
"Iain Hepburn",-,haevS-4AAAAJ,false
"Juan B. Hernando",0000-0002-8562-8213,ZvJW-b4AAAAJ,false
"Joni Herttuainen",-,-,true
"Andreas V. M. Herz",-,-,false
"Mirjia Herzog",-,-,true
"Kathryn Hess",0000-0003-2788-9754,-,false
"Shaul Hestrin",-,jrCs_EEAAAAJ,false
"Rolf-Dieter Heuer",-,-,false
"Djai B Heyer",-,KSQMB5QAAAAJ,false
"Robert J. Hickey",-,ThxoTNUAAAAJ,false
"Andreas Hierlemann",-,qbNrSPYAAAAJ,false
"Sean L. Hill",0000-0001-8055-860X,dnK5QYMAAAAJ,true
